Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,4.0
2016,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,11.527485371766415
2017,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,10.964386733095884
2018,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,11.373394386211809
2019,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,10.12757620435614
2020,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,9.51522880398604
2021,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,10.047206441014144
2022,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,10.032730728170716
2023,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,10.429904563758594
2024,A,0,ZIMSTAT_Quarterly_Digest_of_Statistics,SL_TLF_MANF_19ICLS,,PT,,9.791800821204506
