Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2017,EG_EGY_CLEAN,,,PT,A,0,,21.6
2019,EG_EGY_CLEAN,,,PT,A,0,,33.7
2022,EG_EGY_CLEAN,,,PT,A,0,,61.936167437294046
2024,EG_EGY_CLEAN,,,PT,A,0,,10.4
2019,EG_EGY_CLEAN,,R,PT,A,0,,7.7
2022,EG_EGY_CLEAN,,R,PT,A,0,,55.65878871101471
2024,EG_EGY_CLEAN,,R,PT,A,0,,2.6
2019,EG_EGY_CLEAN,,U,PT,A,0,,83.2
2022,EG_EGY_CLEAN,,U,PT,A,0,,70.79708533995965
2024,EG_EGY_CLEAN,,U,PT,A,0,,23.0
2019,EG_EGY_CLEAN,ZW_BA,,PT,A,0,ZW_BA,85.6
2022,EG_EGY_CLEAN,ZW_BA,,PT,A,0,ZW_BA,94.0933010992187
2024,EG_EGY_CLEAN,ZW_BA,,PT,A,0,ZW_BA,20.4
2019,EG_EGY_CLEAN,ZW_HA,,PT,A,0,ZW_HA,87.2
2022,EG_EGY_CLEAN,ZW_HA,,PT,A,0,ZW_HA,88.12671475002564
2024,EG_EGY_CLEAN,ZW_HA,,PT,A,0,ZW_HA,21.5
2019,EG_EGY_CLEAN,ZW_MA,,PT,A,0,ZW_MA,18.1
2022,EG_EGY_CLEAN,ZW_MA,,PT,A,0,ZW_MA,50.54971265075429
2024,EG_EGY_CLEAN,ZW_MA,,PT,A,0,ZW_MA,7.2
2019,EG_EGY_CLEAN,ZW_MC,,PT,A,0,ZW_MC,11.3
2022,EG_EGY_CLEAN,ZW_MC,,PT,A,0,ZW_MC,51.37132481069131
2024,EG_EGY_CLEAN,ZW_MC,,PT,A,0,ZW_MC,5.6
2019,EG_EGY_CLEAN,ZW_ME,,PT,A,0,ZW_ME,19.7
2022,EG_EGY_CLEAN,ZW_ME,,PT,A,0,ZW_ME,56.75936229219795
2024,EG_EGY_CLEAN,ZW_ME,,PT,A,0,ZW_ME,16.9
2019,EG_EGY_CLEAN,ZW_MI,,PT,A,0,ZW_MI,31.2
2022,EG_EGY_CLEAN,ZW_MI,,PT,A,0,ZW_MI,58.30603044542835
2024,EG_EGY_CLEAN,ZW_MI,,PT,A,0,ZW_MI,4.5
2019,EG_EGY_CLEAN,ZW_MN,,PT,A,0,ZW_MN,10.1
2022,EG_EGY_CLEAN,ZW_MN,,PT,A,0,ZW_MN,42.421770056245066
2024,EG_EGY_CLEAN,ZW_MN,,PT,A,0,ZW_MN,2.5
2019,EG_EGY_CLEAN,ZW_MS,,PT,A,0,ZW_MS,20.0
2022,EG_EGY_CLEAN,ZW_MS,,PT,A,0,ZW_MS,45.84930713496731
2024,EG_EGY_CLEAN,ZW_MS,,PT,A,0,ZW_MS,0.9
2019,EG_EGY_CLEAN,ZW_MV,,PT,A,0,ZW_MV,16.4
2022,EG_EGY_CLEAN,ZW_MV,,PT,A,0,ZW_MV,57.15525364300525
2024,EG_EGY_CLEAN,ZW_MV,,PT,A,0,ZW_MV,6.3
2019,EG_EGY_CLEAN,ZW_MW,,PT,A,0,ZW_MW,23.9
2022,EG_EGY_CLEAN,ZW_MW,,PT,A,0,ZW_MW,60.45453822724261
2024,EG_EGY_CLEAN,ZW_MW,,PT,A,0,ZW_MW,10.2
